rank,feature,coefficient,abs_coefficient,sign
159,cat__SaleType_ConLI,-1667.5057366879375,1667.5057366879375,negative
160,cat__Condition2_RRAn,1580.142977677087,1580.142977677087,positive
161,cat__Heating_GasA,-1490.2822109216368,1490.2822109216368,negative
162,cat__Exterior1st_VinylSd,-1483.3871753390595,1483.3871753390595,negative
163,cat__Functional_Mod,1439.5925251207652,1439.5925251207652,positive
164,cat__GarageType_BuiltIn,1427.2192435565878,1427.2192435565878,positive
165,cat__RoofStyle_Gambrel,1398.0836966679585,1398.0836966679585,positive
166,cat__SaleCondition_Normal,1350.3500714171967,1350.3500714171967,positive
167,cat__Foundation_Slab,-1314.530612064015,1314.530612064015,negative
168,cat__Functional_Min2,-1289.916411542946,1289.916411542946,negative
169,cat__Exterior2nd_HdBoard,1260.195648400008,1260.195648400008,positive
170,cat__GarageCond_Fa,1169.2793734651775,1169.2793734651775,positive
171,cat__RoofMatl_Roll,1148.185236717963,1148.185236717963,positive
172,cat__ExterCond_TA,-1139.7284903693078,1139.7284903693078,negative
173,cat__FireplaceQu_TA,1111.8389318582472,1111.8389318582472,positive
174,cat__HeatingQC_Po,-1106.9913103381439,1106.9913103381439,negative
175,cat__Exterior2nd_Wd Sdng,1105.4514248840978,1105.4514248840978,positive
176,cat__Exterior1st_AsphShn,-1097.2018588233934,1097.2018588233934,negative
177,cat__Neighborhood_NPkVill,1089.0466124305326,1089.0466124305326,positive
178,cat__MSZoning_RH,-1066.8996890920937,1066.8996890920937,negative
179,cat__ExterCond_Po,-1023.8975197869111,1023.8975197869111,negative
180,cat__Condition2_RRNn,1020.5931790885295,1020.5931790885295,positive
181,cat__PavedDrive_P,-926.8609473493435,926.8609473493435,negative
182,cat__SaleType_ConLw,-862.2081792371657,862.2081792371657,negative
183,cat__Condition1_RRNe,861.0083428571584,861.0083428571584,positive
184,cat__Condition1_Feedr,-801.8449773967258,801.8449773967258,negative
185,cat__BsmtFinType1_BLQ,-766.5855993588766,766.5855993588766,negative
186,cat__LotShape_Reg,766.3124174863254,766.3124174863254,positive
187,cat__SaleType_WD,-759.7882694997135,759.7882694997135,negative
188,cat__Condition2_RRAe,-743.7257982374338,743.7257982374338,negative
189,cat__Exterior1st_BrkComm,-741.3593928179347,741.3593928179347,negative
190,cat__ExterCond_Fa,730.3023289774004,730.3023289774004,positive
191,cat__HeatingQC_TA,-700.1474245850036,700.1474245850036,negative
192,cat__Heating_Grav,-689.2022357630439,689.2022357630439,negative
193,cat__GarageFinish_Unf,669.5679158733177,669.5679158733177,positive
194,cat__Electrical_SBrkr,657.750990684645,657.750990684645,positive
195,cat__BsmtFinType2_Rec,-608.2941600535574,608.2941600535574,negative
196,cat__LotConfig_Inside,-595.6862048006652,595.6862048006652,negative
197,cat__RoofMatl_Metal,536.215464785551,536.215464785551,positive
198,cat__Exterior2nd_Other,-525.5834955424747,525.5834955424747,negative
199,cat__BsmtFinType2_Unf,505.0657652118918,505.0657652118918,positive
200,cat__Exterior1st_ImStucc,-497.9595852668935,497.9595852668935,negative
201,cat__Neighborhood_Blueste,-446.3504411544055,446.3504411544055,negative
202,cat__Condition1_RRNn,-438.58448132181235,438.58448132181235,negative
203,cat__Exterior1st_Stone,281.7735569629661,281.7735569629661,positive
204,cat__Exterior1st_MetalSd,-241.18577135230842,241.18577135230842,negative
205,cat__Exterior1st_CemntBd,-220.63749190533846,220.63749190533846,negative
206,num__MoSold,-208.63827867398948,208.63827867398948,negative
207,num__YrSold,-202.67366776850292,202.67366776850292,negative
208,num__YearBuilt,200.79880613551143,200.79880613551143,positive
